Tarih,Bölge,Ülke,Şehir,Ürün Kategorisi,Ürün Adı,Satış Miktarı,Satış Geliri ($),Kâr Marjı (%),Müşteri Segmenti
2023-12-21,Afrika,Nijerya,Lagos,Mobilya,Masa,17,1428,12.68,KOBİ
2023-11-19,Avrupa,Almanya,Berlin,Giyim,Tişört,9,3996,29.84,KOBİ
2023-03-15,Güney Amerika,Brezilya,Sao Paulo,Mobilya,Dolap,9,3141,24.6,KOBİ
2023-11-07,Güney Amerika,Brezilya,Sao Paulo,Giyim,Ceket,20,1960,7.89,Bireysel
2023-04-14,Avrupa,Fransa,Paris,Giyim,Ayakkabı,9,2448,23.36,Bireysel
2023-09-22,Asya,Japonya,Tokyo,Mobilya,Kitaplık,16,7120,19.5,KOBİ
2023-01-09,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Kitaplık,1,484,17.86,Bireysel
2023-04-25,Asya,Çin,Pekin,Elektronik,Laptop,6,1500,11.13,KOBİ
2023-12-29,Asya,Hindistan,Mumbai,Giyim,Tişört,13,5473,15.67,Bireysel
2023-05-01,Asya,Çin,Pekin,Giyim,Pantolon,7,329,27.55,KOBİ
2023-12-29,Afrika,Güney Afrika,Cape Town,Elektronik,Kulaklık,20,4200,23.12,Bireysel
2023-02-01,Afrika,Nijerya,Lagos,Elektronik,Laptop,6,210,23.43,Bireysel
2023-12-24,Afrika,Güney Afrika,Cape Town,Mobilya,Sandalye,3,981,8.83,Bireysel
2023-06-05,Avrupa,Almanya,Berlin,Mobilya,Sandalye,18,4752,21.76,Kurumsal
2023-05-11,Asya,Çin,Pekin,Mobilya,Masa,11,3740,12.77,Bireysel
2023-02-01,Avrupa,Almanya,Berlin,Elektronik,Tablet,9,3492,16.27,Kurumsal
2023-12-31,Kuzey Amerika,Meksika,Mexico City,Elektronik,Tablet,1,44,18.42,Bireysel
2023-11-29,Kuzey Amerika,Kanada,Toronto,Elektronik,Telefon,3,1224,27.83,Kurumsal
2023-04-24,Asya,Japonya,Tokyo,Elektronik,Telefon,8,2552,11.67,Bireysel
2023-01-28,Güney Amerika,Arjantin,Buenos Aires,Mobilya,Dolap,10,710,13.08,KOBİ
2023-01-09,Güney Amerika,Brezilya,Sao Paulo,Elektronik,Tablet,2,906,13.61,Kurumsal
2023-03-25,Avrupa,Almanya,Berlin,Elektronik,Kulaklık,8,1648,28.42,KOBİ
2023-11-24,Asya,Japonya,Tokyo,Mobilya,Kitaplık,20,7480,27.42,Bireysel
2023-02-09,Asya,Çin,Pekin,Giyim,Tişört,9,2952,23.98,Kurumsal
2023-11-07,Güney Amerika,Şili,Santiago,Mobilya,Sandalye,12,2412,16.04,KOBİ
2023-11-13,Avrupa,Fransa,Paris,Giyim,Pantolon,1,280,18.39,Bireysel
2023-04-03,Avrupa,İngiltere,Londra,Giyim,Ceket,16,6816,13.63,Kurumsal
2023-07-28,Afrika,Güney Afrika,Cape Town,Giyim,Tişört,8,352,5.73,Bireysel
2023-07-05,Afrika,Nijerya,Lagos,Mobilya,Dolap,19,4237,10.87,Bireysel
2023-09-29,Güney Amerika,Şili,Santiago,Giyim,Ceket,2,24,9.52,Kurumsal
2023-01-19,Asya,Hindistan,Mumbai,Mobilya,Masa,1,206,14.85,KOBİ
2023-06-27,Afrika,Mısır,Kahire,Mobilya,Dolap,20,5720,12.49,Kurumsal
2023-09-01,Asya,Çin,Pekin,Giyim,Tişört,20,4160,26.21,Kurumsal
